2026-07-03 08:37:50 | __main__             | INFO    | ============================================================
2026-07-03 08:37:50 | __main__             | INFO    |   INSTITUTIONAL TREND ENGINE — DEMO MODE
2026-07-03 08:37:50 | __main__             | INFO    | ============================================================
2026-07-03 08:37:50 | __main__             | INFO    | Generated 500 bars of synthetic data
2026-07-03 08:37:57 | backtest.engine      | INFO    | Starting backtest on 500 bars...
2026-07-03 08:37:57 | strategy.signal_engine | INFO    | Running signal engine on 500 bars...
2026-07-03 08:37:57 | strategy.signal_engine | INFO    | Trend score computed. Turning points: 0
2026-07-03 08:37:58 | strategy.breakout    | INFO    | Generated 0 signals
2026-07-03 08:37:58 | strategy.signal_engine | INFO    | Signal engine complete: 0 signals generated
2026-07-03 08:37:58 | backtest.engine      | INFO    | Backtest complete: 0 trades, final equity=100000.00, return=0.00%
2026-07-03 08:37:58 | strategy.signal_engine | INFO    | Running signal engine on 500 bars...
2026-07-03 08:37:58 | strategy.signal_engine | INFO    | Trend score computed. Turning points: 0
2026-07-03 08:38:00 | strategy.breakout    | INFO    | Generated 0 signals
2026-07-03 08:38:00 | strategy.signal_engine | INFO    | Signal engine complete: 0 signals generated
2026-07-03 08:38:02 | visualization.chart  | INFO    | Chart saved to output\chart.png
2026-07-03 08:38:02 | __main__             | INFO    | Equity curve saved to output\equity_curve.csv
2026-07-03 08:38:02 | __main__             | INFO    | All outputs saved to output/
2026-07-03 08:39:19 | __main__             | INFO    | ============================================================
2026-07-03 08:39:19 | __main__             | INFO    |   INSTITUTIONAL TREND ENGINE — DEMO MODE
2026-07-03 08:39:19 | __main__             | INFO    | ============================================================
2026-07-03 08:39:19 | __main__             | INFO    | Generated 500 bars of synthetic data
2026-07-03 08:39:20 | backtest.engine      | INFO    | Starting backtest on 500 bars...
2026-07-03 08:39:20 | strategy.signal_engine | INFO    | Running signal engine on 500 bars...
2026-07-03 08:39:20 | strategy.signal_engine | INFO    | Trend score computed. Turning points: 0
2026-07-03 08:39:22 | strategy.breakout    | INFO    | Generated 0 signals
2026-07-03 08:39:22 | strategy.signal_engine | INFO    | Signal engine complete: 0 signals generated
2026-07-03 08:39:22 | backtest.engine      | INFO    | Backtest complete: 0 trades, final equity=100000.00, return=0.00%
2026-07-03 08:39:22 | strategy.signal_engine | INFO    | Running signal engine on 500 bars...
