,equity
2025-01-13 09:30:00+00:00,100000.0
2025-01-13 09:31:00+00:00,100000.0
2025-01-13 09:32:00+00:00,100000.0
2025-01-13 09:33:00+00:00,100000.0
2025-01-13 09:34:00+00:00,100000.0
2025-01-13 09:35:00+00:00,100000.0
2025-01-13 09:36:00+00:00,100000.0
2025-01-13 09:37:00+00:00,100000.0
2025-01-13 09:38:00+00:00,100000.0
2025-01-13 09:39:00+00:00,100000.0
2025-01-13 09:40:00+00:00,100000.0
2025-01-13 09:41:00+00:00,100000.0
2025-01-13 09:42:00+00:00,100000.0
2025-01-13 09:43:00+00:00,100000.0
2025-01-13 09:44:00+00:00,100000.0
2025-01-13 09:45:00+00:00,100000.0
2025-01-13 09:46:00+00:00,100000.0
2025-01-13 09:47:00+00:00,100000.0
2025-01-13 09:48:00+00:00,100000.0
2025-01-13 09:49:00+00:00,100000.0
2025-01-13 09:50:00+00:00,100000.0
2025-01-13 09:51:00+00:00,100000.0
2025-01-13 09:52:00+00:00,100000.0
2025-01-13 09:53:00+00:00,100000.0
2025-01-13 09:54:00+00:00,100000.0
2025-01-13 09:55:00+00:00,100000.0
2025-01-13 09:56:00+00:00,100000.0
2025-01-13 09:57:00+00:00,100000.0
2025-01-13 09:58:00+00:00,100000.0
2025-01-13 09:59:00+00:00,100000.0
2025-01-13 10:00:00+00:00,100000.0
2025-01-13 10:01:00+00:00,100000.0
2025-01-13 10:02:00+00:00,100000.0
2025-01-13 10:03:00+00:00,100000.0
2025-01-13 10:04:00+00:00,100000.0
2025-01-13 10:05:00+00:00,100000.0
2025-01-13 10:06:00+00:00,100000.0
2025-01-13 10:07:00+00:00,100000.0
2025-01-13 10:08:00+00:00,100000.0
2025-01-13 10:09:00+00:00,100000.0
2025-01-13 10:10:00+00:00,100000.0
2025-01-13 10:11:00+00:00,100000.0
2025-01-13 10:12:00+00:00,100000.0
2025-01-13 10:13:00+00:00,100000.0
2025-01-13 10:14:00+00:00,100000.0
2025-01-13 10:15:00+00:00,100000.0
2025-01-13 10:16:00+00:00,99996.87999999993
2025-01-13 10:17:00+00:00,101019.19275773728
2025-01-13 10:18:00+00:00,100580.85924720104
2025-01-13 10:19:00+00:00,100869.26783027459
2025-01-13 10:20:00+00:00,100751.94005600369
2025-01-13 10:21:00+00:00,100871.3769371322
2025-01-13 10:22:00+00:00,102048.40100136354
2025-01-13 10:23:00+00:00,102993.07222100743
2025-01-13 10:24:00+00:00,102993.07222100743
2025-01-13 10:25:00+00:00,102993.07222100743
2025-01-13 10:26:00+00:00,102993.07222100743
2025-01-13 10:27:00+00:00,102993.07222100743
2025-01-13 10:28:00+00:00,102993.07222100743
2025-01-13 10:29:00+00:00,102993.07222100743
2025-01-13 10:30:00+00:00,102993.07222100743
2025-01-13 10:31:00+00:00,102993.07222100743
2025-01-13 10:32:00+00:00,102989.84222100736
2025-01-13 10:33:00+00:00,102932.80236448155
2025-01-13 10:34:00+00:00,101963.65802558174
2025-01-13 10:35:00+00:00,101963.65802558174
2025-01-13 10:36:00+00:00,101963.65802558174
2025-01-13 10:37:00+00:00,101963.65802558174
2025-01-13 10:38:00+00:00,101963.65802558174
2025-01-13 10:39:00+00:00,101963.65802558174
2025-01-13 10:40:00+00:00,101963.65802558174
2025-01-13 10:41:00+00:00,101963.65802558174
2025-01-13 10:42:00+00:00,101963.65802558174
2025-01-13 10:43:00+00:00,101963.65802558174
2025-01-13 10:44:00+00:00,101963.65802558174
2025-01-13 10:45:00+00:00,101963.65802558174
2025-01-13 10:46:00+00:00,101963.65802558174
2025-01-13 10:47:00+00:00,101963.65802558174
2025-01-13 10:48:00+00:00,101963.65802558174
2025-01-13 10:49:00+00:00,101963.65802558174
2025-01-13 10:50:00+00:00,101963.65802558174
2025-01-13 10:51:00+00:00,101963.65802558174
2025-01-13 10:52:00+00:00,101963.65802558174
2025-01-13 10:53:00+00:00,101963.65802558174
2025-01-13 10:54:00+00:00,101963.65802558174
2025-01-13 10:55:00+00:00,101963.65802558174
2025-01-13 10:56:00+00:00,101960.41802558166
2025-01-13 10:57:00+00:00,101223.95591387399
2025-01-13 10:58:00+00:00,101460.85769372963
2025-01-13 10:59:00+00:00,101878.06176774832
2025-01-13 11:00:00+00:00,100946.2120399963
2025-01-13 11:01:00+00:00,100946.2120399963
2025-01-13 11:02:00+00:00,100946.2120399963
2025-01-13 11:03:00+00:00,100946.2120399963
2025-01-13 11:04:00+00:00,100946.2120399963
2025-01-13 11:05:00+00:00,100946.2120399963
2025-01-13 11:06:00+00:00,100946.2120399963
